# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.1718750000e+01 1.9025157544e+00 5.9089372812e-01 1.3116220263e+00
1.1779785156e+01 1.7046843990e+00 5.3689129132e-01 1.1677931077e+00
1.1840820312e+01 1.4340913001e+00 4.5883767685e-01 9.7525362322e-01
1.1901855469e+01 1.1556893088e+00 3.7646961604e-01 7.7921969273e-01
1.1962890625e+01 1.0122893954e+00 3.3572965898e-01 6.7655973637e-01
1.2023925781e+01 9.1331913799e-01 3.0783865309e-01 6.0548048490e-01
1.2084960938e+01 8.3396429766e-01 2.8479539759e-01 5.4916890007e-01
1.2145996094e+01 6.9746586827e-01 2.4033959135e-01 4.5712627692e-01
1.2207031250e+01 5.0871096188e-01 1.7544900067e-01 3.3326196121e-01
1.2268066406e+01 3.3365343869e-01 1.1431229909e-01 2.1934113960e-01
1.2329101562e+01 2.2324952434e-01 7.5943365185e-02 1.4730615915e-01
1.2390136719e+01 1.6708355771e-01 5.6604541805e-02 1.1047901590e-01
1.2451171875e+01 1.3527141246e-01 4.5975692727e-02 8.9295719732e-02
1.2512207031e+01 1.1368569014e-01 3.8805173007e-02 7.4880517135e-02
1.2573242188e+01 9.8018706772e-02 3.3584961947e-02 6.4433744825e-02
1.2634277344e+01 8.6280583554e-02 2.9698685587e-02 5.6581897967e-02
1.2695312500e+01 7.7322526362e-02 2.6796845687e-02 5.0525680675e-02
1.2756347656e+01 7.0260708064e-02 2.4560103420e-02 4.5700604644e-02
1.2817382812e+01 6.3984427571e-02 2.2528261637e-02 4.1456165934e-02
1.2878417969e+01 5.8682768756e-02 2.0865921886e-02 3.7816846869e-02
1.2939453125e+01 5.4748986291e-02 1.9535493833e-02 3.5213492458e-02
1.3000488281e+01 5.1185406000e-02 1.8387750318e-02 3.2797655682e-02
1.3061523438e+01 4.8073311634e-02 1.7418283581e-02 3.0655028053e-02
1.3122558594e+01 4.5157582104e-02 1.6472685054e-02 2.8684897051e-02
1.3183593750e+01 4.2164188375e-02 1.5533627616e-02 2.6630560759e-02
1.3244628906e+01 3.9956448207e-02 1.4786409157e-02 2.5170039050e-02
1.3305664062e+01 3.7951368057e-02 1.4088452145e-02 2.3862915911e-02
1.3366699219e+01 3.6153337529e-02 1.3535982695e-02 2.2617354834e-02
1.3427734375e+01 3.4541068820e-02 1.3060289535e-02 2.1480779285e-02
1.3488769531e+01 3.2808452550e-02 1.2513288087e-02 2.0295164464e-02
1.3549804688e+01 3.1301422552e-02 1.1943950293e-02 1.9357472259e-02
1.3610839844e+01 3.0064174734e-02 1.1554893567e-02 1.8509281167e-02
