# freq_THz  G_total  G_In  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
1.5502929688e+01 1.1008214500e-03 7.1297276912e-04 3.8784868091e-04
1.5563964844e+01 1.0725834079e-03 6.9543716209e-04 3.7714624584e-04
1.5625000000e+01 1.0455854531e-03 6.7426859980e-04 3.7131685330e-04
1.5686035156e+01 1.0195160975e-03 6.5480808146e-04 3.6470801608e-04
1.5747070312e+01 9.9320135100e-04 6.3502030312e-04 3.5818104788e-04
1.5808105469e+01 9.7195422275e-04 6.1848481359e-04 3.5346940916e-04
1.5869140625e+01 9.5581703053e-04 6.0529522783e-04 3.5052180270e-04
1.5930175781e+01 9.3119045464e-04 5.8786254006e-04 3.4332791459e-04
1.5991210938e+01 9.1094532481e-04 5.7372090958e-04 3.3722441523e-04
1.6052246094e+01 8.8257435980e-04 5.5123808558e-04 3.3133627422e-04
1.6113281250e+01 8.6365993391e-04 5.3870931616e-04 3.2495061775e-04
1.6174316406e+01 8.4276261916e-04 5.2433837222e-04 3.1842424694e-04
1.6235351562e+01 8.2244806408e-04 5.0693992498e-04 3.1550813910e-04
1.6296386719e+01 8.1232868900e-04 5.0052823372e-04 3.1180045529e-04
1.6357421875e+01 7.9196233407e-04 4.8475478674e-04 3.0720754732e-04
1.6418457031e+01 7.7549274411e-04 4.7091511154e-04 3.0457763257e-04
1.6479492188e+01 7.5823951347e-04 4.5812180432e-04 3.0011770915e-04
1.6540527344e+01 7.4272219486e-04 4.4535525149e-04 2.9736694337e-04
1.6601562500e+01 7.2641495952e-04 4.3507061166e-04 2.9134434785e-04
1.6662597656e+01 7.1459481958e-04 4.2779778965e-04 2.8679702993e-04
1.6723632812e+01 7.0502055768e-04 4.1900082047e-04 2.8601973721e-04
1.6784667969e+01 6.8840877249e-04 4.0558878750e-04 2.8281998499e-04
1.6845703125e+01 6.7648806846e-04 3.9656442051e-04 2.7992364794e-04
1.6906738281e+01 6.6678105200e-04 3.8983235816e-04 2.7694869384e-04
1.6967773438e+01 6.5293599204e-04 3.8019207768e-04 2.7274391437e-04
1.7028808594e+01 6.4542366275e-04 3.7147336637e-04 2.7395029637e-04
1.7089843750e+01 6.4226490309e-04 3.6727237711e-04 2.7499252598e-04
