# frequency_THz total_states_per_THz_per_atom In_contribution Se_contribution
4.740000000000004654e+00 8.122953025771627589e-01 4.241399346468658349e-01 3.881553679302972570e-01
4.760000000000005116e+00 9.195678898872975404e-01 4.909748218396373654e-01 4.285930680476597310e-01
4.780000000000004690e+00 1.025334891053609088e+00 5.589386422842486102e-01 4.663962487693604775e-01
4.800000000000004263e+00 1.124916726647189114e+00 6.247481767477771619e-01 5.001685498994123957e-01
4.820000000000004725e+00 1.212587986154853859e+00 6.843438653038940167e-01 5.282441208509593977e-01
4.840000000000005187e+00 1.282097897927380714e+00 7.332911609142854781e-01 5.488067370130950140e-01
4.860000000000004761e+00 1.327502216315787464e+00 7.673729091095676802e-01 5.601293072062191181e-01
4.880000000000004334e+00 1.344151215811679290e+00 7.832632637041752055e-01 5.608879521075051944e-01
4.900000000000004796e+00 1.329606044914791951e+00 7.791339213728776247e-01 5.504721235419153258e-01
4.920000000000005258e+00 1.284248712130047654e+00 7.550451728701330634e-01 5.292035392599145904e-01
4.940000000000004832e+00 1.211415305633815498e+00 7.130194107531189207e-01 4.983958948806966882e-01
4.960000000000004405e+00 1.116998638290206625e+00 6.567703967286764311e-01 4.602282415615309152e-01
4.980000000000004867e+00 1.008598786797781033e+00 5.911447271664195258e-01 4.174540596313613405e-01
5.000000000000005329e+00 8.944075864428158162e-01 5.213977912589204955e-01 3.730097951838954318e-01
5.020000000000004903e+00 7.820660929204247269e-01 4.524572220242855658e-01 3.296088708961393277e-01
5.040000000000004476e+00 6.777219283249301673e-01 3.883167982191089163e-01 2.894051301058216952e-01
5.060000000000004938e+00 5.854466162830701537e-01 3.316601233614833166e-01 2.537864929215867260e-01
5.080000000000005400e+00 5.070763637399651191e-01 2.837521085343138738e-01 2.233242552056508567e-01
5.100000000000004974e+00 4.424425962639875753e-01 2.445756660499229518e-01 1.978669302140643738e-01
5.120000000000004547e+00 3.898849991292913097e-01 2.131458649176204978e-01 1.767391342116710895e-01
5.140000000000005009e+00 3.469028185387322827e-01 1.879117501892957898e-01 1.589910683494363541e-01
5.160000000000005471e+00 3.108006001164215770e-01 1.671571354367332729e-01 1.436434646796883041e-01
5.180000000000005045e+00 2.792141295748535312e-01 1.493304027590178218e-01 1.298837268158358205e-01
5.200000000000004619e+00 2.504484080494390197e-01 1.332616146041886718e-01 1.171867934452504589e-01
5.220000000000005080e+00 2.236091888078593215e-01 1.182551672467942738e-01 1.053540215610651309e-01
