# frequency_THz total_states_per_THz_per_atom Ga_contribution S_contribution
3.060000000000003162e+00 4.368686594895969111e-01 3.205792502877155004e-01 1.162894092018816050e-01
3.080000000000003180e+00 4.240482442231929272e-01 3.095535981567509309e-01 1.144946460664421350e-01
3.100000000000003197e+00 4.091300863374531804e-01 2.969247898794425411e-01 1.122052964580106116e-01
3.120000000000003215e+00 3.930480201298658938e-01 2.834365763315315756e-01 1.096114437983342765e-01
3.140000000000003233e+00 3.768401381044304554e-01 2.699168311088281369e-01 1.069233069956025822e-01
3.160000000000003251e+00 3.614675677271735332e-01 2.571285034700856453e-01 1.043390642570879018e-01
3.180000000000003268e+00 3.476940179073458870e-01 2.456711188406704438e-01 1.020228990666752628e-01
3.200000000000003286e+00 3.360316810500638685e-01 2.359371244018264591e-01 1.000945566482374649e-01
3.220000000000003304e+00 3.267435998971823796e-01 2.281148461048576326e-01 9.862875379232496909e-02
3.240000000000003322e+00 3.198835873802291507e-01 2.222225252968643150e-01 9.766106208336496064e-02
3.260000000000003340e+00 3.153526703749205407e-01 2.181561960553567436e-01 9.719647431956381090e-02
3.280000000000003357e+00 3.129542973610043299e-01 2.157368267993313715e-01 9.721747056167304168e-02
3.300000000000003375e+00 3.124367961197518362e-01 2.147472239052281018e-01 9.768957221452409523e-02
3.320000000000003393e+00 3.135184964421280363e-01 2.149547959721793688e-01 9.856370046994869516e-02
3.340000000000003411e+00 3.158969314354845848e-01 2.161210715923385650e-01 9.977585984314590872e-02
3.360000000000003428e+00 3.192477312493662289e-01 2.180021532516035754e-01 1.012455779977628062e-01
3.380000000000003446e+00 3.232208711174960891e-01 2.203458461743317831e-01 1.028750249431645558e-01
3.400000000000003464e+00 3.274417646445850760e-01 2.228910638535266109e-01 1.045507007910581876e-01
3.420000000000003482e+00 3.315224797716356808e-01 2.253735076640926427e-01 1.061489721075430381e-01
3.440000000000003499e+00 3.350846270985758935e-01 2.275389883500422150e-01 1.075456387485335119e-01
3.460000000000003517e+00 3.377911825476253016e-01 2.291627894633949114e-01 1.086283930842305012e-01
3.480000000000003535e+00 3.393809020775455654e-01 2.300710071920764044e-01 1.093098948854692165e-01
3.500000000000003553e+00 3.396972256472834961e-01 2.301585943694288150e-01 1.095386312778546811e-01
3.520000000000003126e+00 3.387042790467777453e-01 2.293992798924737175e-01 1.093049991543039584e-01
3.540000000000003588e+00 3.364855742926919913e-01 2.278444782120940260e-01 1.086410960805980069e-01
3.560000000000004050e+00 3.332253126878271798e-01 2.256110946854151811e-01 1.076142180024121930e-01
3.580000000000003624e+00 3.291764255623653712e-01 2.228608627006440912e-01 1.063155628617213633e-01
3.600000000000003197e+00 3.246223645921435530e-01 2.197756912788818295e-01 1.048466733132618622e-01
3.620000000000003659e+00 3.198404371944391644e-01 2.165339939216877618e-01 1.033064432727512916e-01
3.640000000000004121e+00 3.150731696338567867e-01 2.132921249307072054e-01 1.017810447031495952e-01
3.660000000000003695e+00 3.105114100480819150e-01 2.101732881387574081e-01 1.003381219093245486e-01
3.680000000000003268e+00 3.062896353258353632e-01 2.072642306898706543e-01 9.902540463596465337e-02
3.700000000000003730e+00 3.024911543506487721e-01 2.046182899522756837e-01 9.787286439837304675e-02
3.720000000000004192e+00 2.991592434311418636e-01 2.022623176581838655e-01 9.689692577295798415e-02
3.740000000000003766e+00 2.963098974035067723e-01 2.002047737411860040e-01 9.610512366232080994e-02
3.760000000000003340e+00 2.939426177352478797e-01 1.984427273372895428e-01 9.549989039795825363e-02
3.780000000000003801e+00 2.920470382807983656e-01 1.969663479495551983e-01 9.508069033124316727e-02
3.800000000000004263e+00 2.906047301584431808e-01 1.957604236511001905e-01 9.484430650734299029e-02
3.820000000000003837e+00 2.895868668845821281e-01 1.948032850404710636e-01 9.478358184411084242e-02
3.840000000000003411e+00 2.889493737573475829e-01 1.940641215619618443e-01 9.488525219538596067e-02
3.860000000000003872e+00 2.886276703741326721e-01 1.935000054114766610e-01 9.512766496265614991e-02
3.880000000000004334e+00 2.885331568477895736e-01 1.930539843965168589e-01 9.547917245127277019e-02
3.900000000000003908e+00 2.885532476407170477e-01 1.926553910344455944e-01 9.589785660627148101e-02
3.920000000000003482e+00 2.885561116255408454e-01 1.922230917036969189e-01 9.633301992184395424e-02
3.940000000000003944e+00 2.884004545506081985e-01 1.916718486911588581e-01 9.672860585944934031e-02
3.960000000000004405e+00 2.879498086830158399e-01 1.909213857800336478e-01 9.702842290298233086e-02
3.980000000000003979e+00 2.870899718071932560e-01 1.899072159065552379e-01 9.718275590063800429e-02
4.000000000000003553e+00 2.857475212655856689e-01 1.885918582828148560e-01 9.715566298277097945e-02
4.020000000000004015e+00 2.839067749277859321e-01 1.869747799212714001e-01 9.693199500651458744e-02
4.040000000000004476e+00 2.816222971154086485e-01 1.850993030653297899e-01 9.652299405007891409e-02
4.060000000000004050e+00 2.790242465113689230e-01 1.830549221400608328e-01 9.596932437130804849e-02
4.080000000000003624e+00 2.763147223035430367e-01 1.809740623298271567e-01 9.534065997371592160e-02
4.100000000000004086e+00 2.737548124284521767e-01 1.790232858959745210e-01 9.473152653247766952e-02
4.120000000000004547e+00 2.716440250356591535e-01 1.773901462342344082e-01 9.425387880142485630e-02
4.140000000000004121e+00 2.702956522211918955e-01 1.762679780649481776e-01 9.402767415624378733e-02
4.160000000000003695e+00 2.700127309506356599e-01 1.758415149176841275e-01 9.417121603295178223e-02
4.180000000000004157e+00 2.710691539499231473e-01 1.762760675311193515e-01 9.479308641880374031e-02
4.200000000000004619e+00 2.736990531243664870e-01 1.777120384194496583e-01 9.598701470491691201e-02
4.220000000000004192e+00 2.780951714582148293e-01 1.802650072818139104e-01 9.783016417640102991e-02
4.240000000000003766e+00 2.844141841692025552e-01 1.840298885202531487e-01 1.003842956489494065e-01
4.260000000000004228e+00 2.927844994040029181e-01 1.890861529319819989e-01 1.036983464720209192e-01
4.280000000000004690e+00 3.033104908279146694e-01 1.955001539930893428e-01 1.078103368348253127e-01
4.300000000000004263e+00 3.160667259378187044e-01 2.033204293533414642e-01 1.127462965844773929e-01
4.320000000000003837e+00 3.310767803550201394e-01 2.125626199293999263e-01 1.185141604256201575e-01
4.340000000000004299e+00 3.482738650361817401e-01 2.231824938397045932e-01 1.250913711964773967e-01
