# frequency_THz total_states_per_THz_per_atom Ga_contribution Se_contribution
4.920000000000005258e+00 1.204400041710701518e-04 7.346985367075859179e-05 4.697015050031149222e-05
4.940000000000004832e+00 5.756345259537777207e-05 3.515025715010948850e-05 2.241319544526829713e-05
4.960000000000004405e+00 2.649617856295791935e-05 1.619464671916604100e-05 1.030153184379189191e-05
4.980000000000004867e+00 1.174345006340420762e-05 7.183862046893929474e-06 4.559588016510283224e-06
5.000000000000005329e+00 5.010826314731900742e-06 3.067727205721544362e-06 1.943099109010356380e-06
5.020000000000004903e+00 2.058057105280792667e-06 1.260909997640225851e-06 7.971471076405672391e-07
5.040000000000004476e+00 8.135424263456744403e-07 4.987730850718530434e-07 3.147693412738211322e-07
5.060000000000004938e+00 3.094739614675229055e-07 1.898550927164109554e-07 1.196188687511120030e-07
5.080000000000005400e+00 1.132767803547346704e-07 6.953374297559069416e-08 4.374303737914404245e-08
5.100000000000004974e+00 3.989210796548287683e-08 2.450085858638883575e-08 1.539124937909406094e-08
5.120000000000004547e+00 1.351521402162166673e-08 8.305034875937289638e-09 5.210179145684378746e-09
5.140000000000005009e+00 4.404665271670547570e-09 2.707956330716233992e-09 1.696708940954314819e-09
5.160000000000005471e+00 1.380780345513700304e-09 8.492797045123642248e-10 5.315006410013370098e-10
5.180000000000005045e+00 4.163253422445271110e-10 2.561792874964017320e-10 1.601460547481254307e-10
5.200000000000004619e+00 1.207497804958085684e-10 7.432931523693949088e-11 4.642046525886914856e-11
5.220000000000005080e+00 3.378324650267609918e-11 2.079395954490422465e-11 1.298928695777187938e-11
